"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"gene_synonyms"	"product_synonyms"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_strand"	"Zika_type"	"Zika_gene_id"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_TF"	"Zika_start"	"Zika_stop"	"Zika_TF"
"b1639"	"mliC"	1718066	1718395	"-"	0	"b1639,ECK120001444,ECK1635,EG11488,mliC,ydhA"	"ECK120005920,MliC,NP_416156.4,YdhA"	"ECK120001444"	"mliC"	"b1639"	"-"	NA	"ECK120005920"	"inhibitor of c-type lysozyme, putative lipoprotein"	NA	"b1639"	"mliC"	NA	"inhibitor of c-type lysozyme, putative lipoprotein"	"-"	"CDS"	"1705"	1718066	1718395	0	1718066	1718395	NA
"b1640"	"anmK"	1718493	1719602	"-"	0	"anmK,b1640,ECK120003469,ECK1636,G6880,ydhH"	"AnmK,ECK120007925,NP_416157.1,YdhH"	"ECK120003469"	"anmK"	"b1640"	"-"	NA	"ECK120007925"	"anhydro-<i>N</i>-acetylmuramic acid kinase"	NA	"b1640"	"anmK"	NA	"anhydro-N-acetylmuramic acid kinase"	"-"	"CDS"	"1706"	1718493	1719602	0	1718493	1719602	NA
"b1641"	"slyB"	1719876	1720343	"+"	0	"b1641,ECK120003470,ECK1637,G6881,slyB"	"ECK120007926,SlyB,YP_025304.1"	"ECK120003470"	"slyB"	"b1641"	"+"	NA	"ECK120007926"	"outer membrane lipoprotein SlyB"	NA	"b1641"	"slyB"	NA	"outer membrane lipoprotein SlyB"	"+"	"CDS"	"1707"	1719876	1720343	0	1719876	1720343	NA
"b1642"	"slyA"	1720390	1720824	"-"	2	"b1642,ECK120003471,ECK1638,G6882,slyA"	"ECK120007927,NP_416159.2,SlyA"	"ECK120003471"	"slyA"	"b1642"	"-"	NA	"ECK120007927"	"DNA-binding transcriptional dual regulator SlyA"	NA	"b1642"	"slyA"	"non-essential"	"DNA-binding transcriptional dual regulator SlyA"	"-"	"CDS"	"197"	1720390	1720824	1	1720390	1720824	1
"b1643"	"ydhI"	1721025	1721261	"+"	0	"b1643,ECK120003472,ECK1639,G6883,ydhI"	"ECK120007928,NP_416160.1,YdhI"	"ECK120003472"	"ydhI"	"b1643"	"+"	NA	"ECK120007928"	"DUF1656 domain-containing protein YdhI"	NA	"b1643"	"ydhI"	NA	"DUF1656 domain-containing protein YdhI"	"+"	"CDS"	"1708"	1721025	1721261	0	1721025	1721261	NA
"b1644"	"ydhJ"	1721264	1722121	"+"	0	"b1644,ECK120003473,ECK1640,G6884,ydhJ"	"ECK120007929,NP_416161.4,YdhJ"	"ECK120003473"	"ydhJ"	"b1644"	"+"	NA	"ECK120007929"	"putative membrane fusion protein YdhJ"	NA	"b1644"	"ydhJ"	NA	"putative membrane fusion protein YdhJ"	"+"	"CDS"	"1709"	1721264	1722121	0	1721264	1722121	NA
"b1645"	"ydhK"	1722121	1724133	"+"	0	"b1645,ECK120003474,ECK1641,G6885,ydhK"	"ECK120007930,NP_416162.1,YdhK"	"ECK120003474"	"ydhK"	"b1645"	"+"	NA	"ECK120007930"	"putative transporter YdhK"	NA	"b1645"	"ydhK"	NA	"putative transporter YdhK"	"+"	"CDS"	"1710"	1722121	1724133	0	1722121	1724133	NA
"b1646"	"sodC"	1724134	1724655	"-"	0	"b1646,ECK120003475,ECK1642,G6886,sodC"	"bacteriocuprein,ECK120007931,NP_416163.1,SodC"	"ECK120003475"	"sodC"	"b1646"	"-"	NA	"ECK120007931"	"superoxide dismutase (Cu-Zn)"	NA	"b1646"	"sodC"	NA	"superoxide dismutase (Cu-Zn)"	"-"	"CDS"	"1711"	1724134	1724655	0	1724134	1724655	NA
"b1647"	"ydhF"	1724736	1725632	"-"	0	"b1647,ECK120003476,ECK1643,G6887,ydhF"	"ECK120007932,YdhF,YP_025305.1"	"ECK120003476"	"ydhF"	"b1647"	"-"	NA	"ECK120007932"	"putative oxidoreductase YdhF"	NA	"b1647"	"ydhF"	NA	"putative oxidoreductase"	"-"	"CDS"	"1712"	1724736	1725632	0	1724736	1725632	NA
"b1648"	"ydhL"	1725681	1725920	"-"	0	"b1648,ECK120003477,ECK1644,G6888,ydhL"	"ECK120007933,NP_416165.2,YdhL"	"ECK120003477"	"ydhL"	"b1648"	"-"	NA	"ECK120007933"	"DUF1289 domain-containing protein YdhL"	NA	"b1648"	"ydhL"	NA	"conserved protein YdhL"	"-"	"CDS"	"1713"	1725681	1725920	0	1725681	1725920	NA
"b1649"	"nemR"	1726023	1726622	"+"	2	"b1649,ECK120003478,ECK1645,G6889,nemR,ydhM"	"ECK120007934,NemR,NP_416166.3,YdhM"	"ECK120003478"	"nemR"	"b1649"	"+"	NA	"ECK120007934"	"DNA-binding transcriptional repressor NemR"	NA	"b1649"	"ydhM"	"non-essential"	"DNA-binding transcriptional repressor NemR"	"+"	"CDS"	"151"	1726023	1726622	1	1726023	1726622	1
"b1650"	"nemA"	1726659	1727756	"+"	0	"b1650,ECK120003479,ECK1646,G6890,nemA,ydhN"	" FMN-linked,ECK120007935,N-ethylmaleimide reductase,NemA,NP_416167.1,YdhN"	"ECK120003479"	"nemA"	"b1650"	"+"	NA	"ECK120007935"	"<i>N</i>-ethylmaleimide reductase"	NA	"b1650"	"nemA"	NA	"N-ethylmaleimide reductase"	"+"	"CDS"	"1714"	1726659	1727756	0	1726659	1727756	NA
"b1651"	"gloA"	1727837	1728244	"+"	0	"b1651,ECK120003480,ECK1647,G6891,gloA"	"ECK120007936,GloA,NP_416168.1"	"ECK120003480"	"gloA"	"b1651"	"+"	NA	"ECK120007936"	"glyoxalase I"	NA	"b1651"	"gloA"	NA	"glyoxalase I"	"+"	"CDS"	"1715"	1727837	1728244	0	1727837	1728244	NA
"b1652"	"rnt"	1728347	1728994	"+"	0	"b1652,ECK120001501,ECK1648,EG11547,rnt"	"ECK120005977,NP_416169.1,Rnt"	"ECK120001501"	"rnt"	"b1652"	"+"	NA	"ECK120005977"	"RNase T"	NA	"b1652"	"rnt"	NA	"RNase T"	"+"	"CDS"	"1716"	1728347	1728994	0	1728347	1728994	NA
"b1653"	"lhr"	1729087	1733703	"+"	0	"b1653,ECK120001502,ECK1649,EG11548,lhr,rhlF"	"ECK120005978,Lhr,member of  ATP-dependent helicase superfamily II,NP_416170.1,RhlF"	"ECK120001502"	"lhr"	"b1653"	"+"	NA	"ECK120005978"	"putative ATP-dependent helicase Lhr"	NA	"b1653"	"lhr"	NA	"putative ATP-dependent helicase Lhr"	"+"	"CDS"	"1717"	1729087	1733703	0	1729087	1733703	NA
"b1654"	"grxD"	1733754	1734101	"-"	0	"b1654,ECK120002074,ECK1650,EG12181,grxD,ydhD"	"ECK120006550,Grx4,GrxD,NP_416171.1,YdhD"	"ECK120002074"	"grxD"	"b1654"	"-"	NA	"ECK120006550"	"glutaredoxin 4"	NA	"b1654"	"grxD"	NA	"glutaredoxin 4"	"-"	"CDS"	"1718"	1733754	1734101	0	1733754	1734101	NA
"b1655"	"mepH"	1734435	1735250	"+"	0	"b1655,ECK120003481,ECK1651,G6892,mepH,ydhO"	"ECK120007937,MepH,NP_416172.1,YdhO"	"ECK120003481"	"mepH"	"b1655"	"+"	NA	"ECK120007937"	"peptidoglycan DD-endopeptidase MepH"	NA	"b1655"	"mepH"	NA	"peptidoglycan DD-endopeptidase MepH"	"+"	"CDS"	"1719"	1734435	1735250	0	1734435	1735250	NA
"b1656"	"sodB"	1735378	1735959	"+"	0	"b1656,ECK120000943,ECK1652,EG10954,sodB"	"ECK120005419,NP_416173.1,SodB"	"ECK120000943"	"sodB"	"b1656"	"+"	NA	"ECK120005419"	"superoxide dismutase (Fe)"	NA	"b1656"	"sodB"	NA	"superoxide dismutase (Fe)"	"+"	"CDS"	"1720"	1735378	1735959	0	1735378	1735959	NA
"b1657"	"ydhP"	1736121	1737290	"-"	0	"b1657,ECK120003482,ECK1653,G6893,ydhP"	"ECK120007938,NP_416174.1,YdhP"	"ECK120003482"	"ydhP"	"b1657"	"-"	NA	"ECK120007938"	"putative transporter YdhP"	NA	"b1657"	"ydhP"	NA	"putative transporter YdhP"	"-"	"CDS"	"1721"	1736121	1737290	0	1736121	1737290	NA
"b4602"	"cydH"	1737456	1737545	"-"	0	"b4602,cydH,ECK120030078,ECK4411,G0-10594,ynhF"	"CydH,CydY,ECK120030105,YnhF,YP_001165321.1"	"ECK120030078"	"cydH"	"b4602"	"-"	NA	"ECK120030105"	"cytochrome <i>bd</i>-I ubiquinol oxidase accessory subunit CydH"	NA	"b4602"	"ynhF"	NA	"stress response membrane protein YnhF"	"-"	"CDS"	"1722"	1737456	1737545	0	1737456	1737545	NA
"b1658"	"purR"	1737844	1738869	"+"	2	"b1658,ECK120000791,ECK1654,EG10800,purR"	"ECK120005267,NP_416175.1,PurR"	"ECK120000791"	"purR"	"b1658"	"+"	NA	"ECK120005267"	"DNA-binding transcriptional repressor PurR"	NA	"b1658"	"purR"	"non-essential"	"DNA-binding transcriptional repressor PurR"	"+"	"CDS"	"171"	1737844	1738869	1	1737844	1738869	1
"b1659"	"ydhB"	1738866	1739798	"-"	1	"b1659,ECK120002041,ECK1655,EG12140,ydhB"	"ECK120006517,NP_416176.1,YdhB"	"ECK120002041"	"ydhB"	"b1659"	"-"	NA	"ECK120006517"	"putative LysR family DNA-binding transcriptional regulator YdhB"	NA	"b1659"	"ydhB"	"non-essential"	"putative LysR family DNA-binding transcriptional regulator YdhB"	"-"	"CDS"	"245"	1738866	1739798	0	1738866	1739798	1
"b1660"	"ydhC"	1739911	1741122	"+"	0	"b1660,ECK120002042,ECK1656,EG12141,ydhC"	"ECK120006518,YdhC,YdhC MFS transporter,YP_025306.1"	"ECK120002042"	"ydhC"	"b1660"	"+"	NA	"ECK120006518"	"putative transporter YdhC"	NA	"b1660"	"ydhC"	NA	"putative transporter YdhC"	"+"	"CDS"	"1723"	1739911	1741122	0	1739911	1741122	NA
"b1661"	"cfa"	1741413	1742561	"+"	0	"b1661,cdfA,cfa,ECK120001485,ECK1657,EG11531"	"CdfA,Cfa,ECK120005961,NP_416178.1"	"ECK120001485"	"cfa"	"b1661"	"+"	NA	"ECK120005961"	"cyclopropane fatty acyl phospholipid synthase"	NA	"b1661"	"cfa"	NA	"cyclopropane fatty acyl phospholipid synthase"	"+"	"CDS"	"1724"	1741413	1742561	0	1741413	1742561	NA
"b1662"	"ribC"	1742601	1743242	"-"	0	"b1662,ECK120001372,ECK1658,EG11406,ribC,ribE"	"ECK120005848,NP_416179.1,RibC,RibE"	"ECK120001372"	"ribC"	"b1662"	"-"	NA	"ECK120005848"	"riboflavin synthase"	NA	"b1662"	"ribC"	NA	"riboflavin synthase"	"-"	"CDS"	"1725"	1742601	1743242	0	1742601	1743242	NA
"b1663"	"mdtK"	1743457	1744830	"+"	0	"b1663,ECK120002262,ECK1659,EG12400,mdtK,norE,norM,ydhE"	"ECK120006737,MdtK,NorE,NorM,YdhE,YP_025307.1"	"ECK120002262"	"mdtK"	"b1663"	"+"	NA	"ECK120006737"	"multidrug efflux pump MdtK"	NA	"b1663"	"mdtK"	NA	"multidrug efflux pump MdtK"	"+"	"CDS"	"1726"	1743457	1744830	0	1743457	1744830	NA
"b1664"	"ydhQ"	1744871	1746127	"-"	0	"b1664,ECK120003483,ECK1660,G6894,ydhQ"	"ECK120007939,NP_416181.1,YdhQ"	"ECK120003483"	"ydhQ"	"b1664"	"-"	NA	"ECK120007939"	"putative adhesin-related protein YdhQ"	NA	"b1664"	"ydhQ"	NA	"adhesin-like autotransporter YdhQ"	"-"	"CDS"	"1727"	1744871	1746127	0	1744871	1746127	NA
"b1665"	"valV"	1746435	1746511	"+"	0	"b1665,b1665_tRNA_1746434_1746511,ECK120002553,ECK1661,EG30111,valV"	"ECK120007027,tRNA<sup>valV</sup>"	"ECK120002553"	"valV"	"b1665"	"+"	NA	"ECK120007027"	"tRNA-Val(GAC)"	"tRNAs"	"b1665_tRNA_1746434_1746511"	"valV"	NA	"tRNA-Val"	"+"	"tRNA"	"8878"	1746435	1746511	0	1746435	1746511	NA
"b1666"	"valW"	1746516	1746592	"+"	0	"b1666,b1666_tRNA_1746515_1746592,ECK120002554,ECK1662,EG30112,valW"	"ECK120007028,tRNA<sup>valW</sup>"	"ECK120002554"	"valW"	"b1666"	"+"	NA	"ECK120007028"	"tRNA-Val(GAC)"	"tRNAs"	"b1666_tRNA_1746515_1746592"	"valW"	NA	"tRNA-Val"	"+"	"tRNA"	"8879"	1746516	1746592	0	1746516	1746592	NA
"b1667"	"ydhR"	1746700	1747005	"+"	0	"b1667,ECK120003484,ECK1663,G6895,ydhR"	"ECK120007940,NP_416182.1,YdhR"	"ECK120003484"	"ydhR"	"b1667"	"+"	NA	"ECK120007940"	"putative monooxygenase YdhR"	NA	"b1667"	"ydhR"	NA	"putative monooxygenase YdhR"	"+"	"CDS"	"1728"	1746700	1747005	0	1746700	1747005	NA
"b1668"	"ydhS"	1747131	1748735	"+"	0	"b1668,ECK120003485,ECK1664,G6896,ydhS"	"ECK120007941,NP_416183.1,YdhS"	"ECK120003485"	"ydhS"	"b1668"	"+"	NA	"ECK120007941"	"FAD/NAD(P) binding domain-containing protein YdhS"	NA	"b1668"	"ydhS"	NA	"FAD/NAD(P) binding domain-containing protein YdhS"	"+"	"CDS"	"1729"	1747131	1748735	0	1747131	1748735	NA
"b1669"	"ydhT"	1748747	1749559	"-"	0	"b1669,ECK120003486,ECK1665,G6897,ydhT"	"ECK120007942,NP_416184.1,YdhT"	"ECK120003486"	"ydhT"	"b1669"	"-"	NA	"ECK120007942"	"uncharacterized protein YdhT"	NA	"b1669"	"ydhT"	NA	"conserved protein YdhT"	"-"	"CDS"	"1730"	1748747	1749559	0	1748747	1749559	NA
"b1670"	"ydhU"	1749563	1750348	"-"	0	"b1670,ECK120003487,ECK1666,G6898,ydhU"	"ECK120007943,NP_416185.1,YdhU"	"ECK120003487"	"ydhU"	"b1670"	"-"	NA	"ECK120007943"	"putative cytochrome YdhU"	NA	"b1670"	"ydhU"	NA	"putative cytochrome YdhU"	"-"	"CDS"	"1731"	1749563	1750348	0	1749563	1750348	NA
"b1671"	"ydhX"	1750345	1751013	"-"	0	"b1671,ECK120003488,ECK1667,G6899,ydhX"	"ECK120007944,NP_416186.4,YdhX"	"ECK120003488"	"ydhX"	"b1671"	"-"	NA	"ECK120007944"	"putative 4Fe-4S ferredoxin-like protein YdhX"	NA	"b1671"	"ydhX"	NA	"putative 4Fe-4S ferredoxin-type protein"	"-"	"CDS"	"1732"	1750345	1751013	0	1750345	1751013	NA
"b1672"	"ydhW"	1751077	1751724	"-"	0	"b1672,ECK120003489,ECK1668,G6900,ydhW"	"ECK120007945,NP_416187.1,YdhW"	"ECK120003489"	"ydhW"	"b1672"	"-"	NA	"ECK120007945"	"uncharacterized protein YdhW"	NA	"b1672"	"ydhW"	NA	"protein YdhW"	"-"	"CDS"	"1733"	1751077	1751724	0	1751077	1751724	NA
"b1673"	"ydhV"	1751728	1753830	"-"	0	"b1673,ECK120003490,ECK1669,G6901,ydhV"	"ECK120007946,NP_416188.1,YdhV"	"ECK120003490"	"ydhV"	"b1673"	"-"	NA	"ECK120007946"	"putative oxidoreductase YdhV"	NA	"b1673"	"ydhV"	NA	"putative oxidoreductase"	"-"	"CDS"	"1734"	1751728	1753830	0	1751728	1753830	NA
"b1674"	"ydhY"	1753851	1754477	"-"	0	"b1674,ECK120003491,ECK1670,G6902,ydhY"	"ECK120007947,NP_416189.1,YdhY"	"ECK120003491"	"ydhY"	"b1674"	"-"	NA	"ECK120007947"	"putative 4Fe-4S ferredoxin-like protein YdhY"	NA	"b1674"	"ydhY"	NA	"putative 4Fe-4S ferredoxin-type protein"	"-"	"CDS"	"1735"	1753851	1754477	0	1753851	1754477	NA
"b1675"	"fumD"	1754932	1755141	"-"	0	"b1675,ECK120003492,ECK1671,fumD,G6903,ydhZ"	"ECK120007948,FumD,NP_416190.1,YdhZ"	"ECK120003492"	"fumD"	"b1675"	"-"	NA	"ECK120007948"	"fumarase D"	NA	"b1675"	"ydhZ"	NA	"fumarase D"	"-"	"CDS"	"1736"	1754932	1755141	0	1754932	1755141	NA
"b1676"	"pykF"	1755698	1757110	"+"	0	"b1676,ECK120000795,ECK1672,EG10804,pykF"	"ECK120005271,NP_416191.1,PykF"	"ECK120000795"	"pykF"	"b1676"	"+"	NA	"ECK120005271"	"pyruvate kinase I"	NA	"b1676"	"pykF"	NA	"pyruvate kinase I"	"+"	"CDS"	"1737"	1755698	1757110	0	1755698	1757110	NA
"b1677"	"lpp"	1757421	1757657	"+"	0	"b1677,ECK120000537,ECK1673,EG10544,lpp,mlpA"	"ECK120005013,Lpp,MlpA,NP_416192.1"	"ECK120000537"	"lpp"	"b1677"	"+"	NA	"ECK120005013"	"murein lipoprotein"	NA	"b1677"	"lpp"	NA	"murein lipoprotein"	"+"	"CDS"	"1738"	1757421	1757657	0	1757421	1757657	NA
"b1678"	"ldtE"	1757721	1758725	"-"	0	"b1678,ECK120003493,ECK1674,G6904,ldtE,ynhG"	"ECK120007949,LdtE,NP_416193.1,YnhG"	"ECK120003493"	"ldtE"	"b1678"	"-"	NA	"ECK120007949"	"L,D-transpeptidase LdtE"	NA	"b1678"	"ldtE"	NA	"L,D-transpeptidase LdtE"	"-"	"CDS"	"1739"	1757721	1758725	0	1757721	1758725	NA
"b1679"	"sufE"	1758874	1759290	"-"	0	"b1679,ECK120003494,ECK1675,G6905,sufE,ynhA"	"ECK120007950,NP_416194.1,SufE,sulfur acceptor for SufS cysteine desulfurase,YnhA"	"ECK120003494"	"sufE"	"b1679"	"-"	NA	"ECK120007950"	"sulfur carrier protein SufE"	NA	"b1679"	"sufE"	NA	"sulfur acceptor for SufS cysteine desulfurase"	"-"	"CDS"	"1740"	1758874	1759290	0	1758874	1759290	NA
"b1680"	"sufS"	1759303	1760523	"-"	0	"b1680,csdB,ECK120003495,ECK1676,G6906,sufS,ynhB"	"CsdB,ECK120007951,NP_416195.1,SufS,YnhB"	"ECK120003495"	"sufS"	"b1680"	"-"	NA	"ECK120007951"	"L-cysteine desulfurase"	NA	"b1680"	"sufS"	NA	"L-cysteine desulfurase"	"-"	"CDS"	"1741"	1759303	1760523	0	1759303	1760523	NA
"b1681"	"sufD"	1760520	1761791	"-"	0	"b1681,ECK120003496,ECK1677,G6907,sufD,ynhC"	"ECK120007952,NP_416196.1,SufD,SufD component of SufBCD Fe-S cluster scaffold complex,YnhC"	"ECK120003496"	"sufD"	"b1681"	"-"	NA	"ECK120007952"	"Fe-S cluster scaffold complex subunit SufD"	NA	"b1681"	"sufD"	NA	"Fe-S cluster scaffold complex subunit SufD"	"-"	"CDS"	"1742"	1760520	1761791	0	1760520	1761791	NA
"b1682"	"sufC"	1761766	1762512	"-"	0	"b1682,ECK120003497,ECK1678,G6908,sufC,ynhD"	"ECK120007953,NP_416197.1,SufC,SufC component of SufBCD Fe-S cluster scaffold complex,YnhD"	"ECK120003497"	"sufC"	"b1682"	"-"	NA	"ECK120007953"	"Fe-S cluster scaffold complex subunit SufC"	NA	"b1682"	"sufC"	NA	"Fe-S cluster scaffold complex subunit SufC"	"-"	"CDS"	"1743"	1761766	1762512	0	1761766	1762512	NA
"b1683"	"sufB"	1762522	1764009	"-"	0	"b1683,ECK120003498,ECK1679,G6909,sufB,ynhE"	"ECK120007954,NP_416198.2,SufB,SufB component of SufBCD Fe-S cluster scaffold complex,YnhE"	"ECK120003498"	"sufB"	"b1683"	"-"	NA	"ECK120007954"	"Fe-S cluster scaffold complex subunit SufB"	NA	"b1683"	"sufB"	NA	"Fe-S cluster scaffold complex subunit SufB"	"-"	"CDS"	"1744"	1762522	1764009	0	1762522	1764009	NA
"b1684"	"sufA"	1764018	1764386	"-"	0	"b1684,ECK120001346,ECK1680,EG11378,sufA,ydiC"	"ECK120005822,Fe-S transport protein in Fe-S cluster assembly,NP_416199.1,SufA,YdiC"	"ECK120001346"	"sufA"	"b1684"	"-"	NA	"ECK120005822"	"iron-sulfur cluster insertion protein SufA"	NA	"b1684"	"sufA"	NA	"iron-sulfur cluster insertion protein SufA"	"-"	"CDS"	"1745"	1764018	1764386	0	1764018	1764386	NA
"b4430"	"rydB"	1764713	1764780	"-"	0	"b4430,b4430_ncRNA_1764712_1764780,ECK120002588,ECK1681,G0-8876,IS082,rydB,tpe7"	"ECK120007062,IS082,RydB small RNA regulator of RpoS,small regulatory RNA RydB,tpe7"	"ECK120002588"	"rydB"	"b4430"	"-"	NA	"ECK120007062"	"RydB"	"small RNA"	"b4430_ncRNA_1764712_1764780"	"rydB"	NA	"small regulatory RNA RydB"	"-"	"ncRNA"	"8880"	1764713	1764780	0	1764713	1764780	NA
"b1685"	"ydiH"	1764934	1765122	"-"	0	"b1685,ECK120003499,ECK1682,G6911,ydiH"	"ECK120007955,NP_416200.2,YdiH"	"ECK120003499"	"ydiH"	"b1685"	"-"	NA	"ECK120007955"	"protein YdiH"	NA	"b1685"	"ydiH"	NA	"protein YdiH"	"-"	"CDS"	"1746"	1764934	1765122	0	1764934	1765122	NA
"b1686"	"menI"	1765222	1765632	"-"	0	"b1686,ECK120003500,ECK1683,G6912,menI,ydiI"	"ECK120007956,MenI,NP_416201.1,YdiI"	"ECK120003500"	"menI"	"b1686"	"-"	NA	"ECK120007956"	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	NA	"b1686"	"menI"	NA	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	"-"	"CDS"	"1747"	1765222	1765632	0	1765222	1765632	NA
"b1687"	"ydiJ"	1765629	1768685	"-"	0	"b1687,ECK120003501,ECK1684,G6913,ydiJ"	"ECK120007957,NP_416202.1,YdiJ"	"ECK120003501"	"ydiJ"	"b1687"	"-"	NA	"ECK120007957"	"putative FAD-linked oxidoreductase"	NA	"b1687"	"ydiJ"	NA	"putative FAD-linked oxidoreductase"	"-"	"CDS"	"1748"	1765629	1768685	0	1765629	1768685	NA
"b1688"	"ydiK"	1769074	1770186	"+"	0	"b1688,ECK120003502,ECK1685,G6914,ydiK"	"ECK120007958,NP_416203.1,YdiK"	"ECK120003502"	"ydiK"	"b1688"	"+"	NA	"ECK120007958"	"putative transporter YdiK"	NA	"b1688"	"ydiK"	NA	"putative transporter YdiK"	"+"	"CDS"	"1749"	1769074	1770186	0	1769074	1770186	NA
"b4431"	"rprA"	1770372	1770476	"+"	0	"b4431,b4431_ncRNA_1770371_1770476,ECK120002576,ECK1686,G0-8863,IS083,psrA5,rprA"	"ECK120007050,IS083,psrA5,small regulatory RNA RprA"	"ECK120002576"	"rprA"	"b4431"	"+"	NA	"ECK120007050"	"RprA"	"small RNA"	"b4431_ncRNA_1770371_1770476"	"rprA"	NA	"small regulatory RNA RprA"	"+"	"ncRNA"	"8881"	1770372	1770476	0	1770372	1770476	NA
"b1689"	"ydiL"	1770615	1770971	"+"	0	"b1689,ECK120003503,ECK1687,G6915,ydiL"	"ECK120007959,NP_416204.2,YdiL"	"ECK120003503"	"ydiL"	"b1689"	"+"	NA	"ECK120007959"	"DUF1870 domain-containing protein YdiL"	NA	"b1689"	"ydiL"	NA	"DUF1870 domain-containing protein YdiL"	"+"	"CDS"	"1750"	1770615	1770971	0	1770615	1770971	0
"b1690"	"ydiM"	1771071	1772285	"+"	0	"b1690,ECK120003504,ECK1688,G6916,ydiM"	"ECK120007960,NP_416205.1,YdiM"	"ECK120003504"	"ydiM"	"b1690"	"+"	NA	"ECK120007960"	"putative exporter YdiM"	NA	"b1690"	"ydiM"	NA	"putative exporter YdiM"	"+"	"CDS"	"1751"	1771071	1772285	0	1771071	1772285	NA
"b1691"	"ydiN"	1772512	1773777	"+"	0	"b1691,ECK120003505,ECK1689,G6917,ydiN"	"ECK120007961,NP_416206.6,YdiN"	"ECK120003505"	"ydiN"	"b1691"	"+"	NA	"ECK120007961"	"putative transporter YdiN"	NA	"b1691"	"ydiN"	NA	"putative transporter YdiN"	"+"	"CDS"	"1752"	1772512	1773777	0	1772512	1773777	NA
"b1692"	"ydiB"	1773789	1774655	"+"	0	"b1692,ECK120001212,ECK1690,EG11234,ydiB"	"ECK120005688,NP_416207.1,YdiB"	"ECK120001212"	"ydiB"	"b1692"	"+"	NA	"ECK120005688"	"quinate/shikimate dehydrogenase"	NA	"b1692"	"ydiB"	NA	"shikimate dehydrogenase/quinate dehydrogenase"	"+"	"CDS"	"1753"	1773789	1774655	0	1773789	1774655	NA
"b1693"	"aroD"	1774686	1775444	"+"	0	"aroD,b1693,ECK120000072,ECK1691,EG10076"	"AroD,ECK120004548,NP_416208.1"	"ECK120000072"	"aroD"	"b1693"	"+"	NA	"ECK120004548"	"3-dehydroquinate dehydratase"	NA	"b1693"	"aroD"	NA	"3-dehydroquinate dehydratase"	"+"	"CDS"	"1754"	1774686	1775444	0	1774686	1775444	NA
"b1694"	"ydiF"	1775587	1777182	"+"	0	"b1694,ECK120002287,ECK1692,EG12432,ydiF"	"ECK120006762,fused predicted acetyl-CoA:acetoacetyl-CoA transferase: &alpha; subunit/&beta; subunit,NP_416209.1,YdiF"	"ECK120002287"	"ydiF"	"b1694"	"+"	NA	"ECK120006762"	"putative acetate-CoA transferase YdiF"	NA	"b1694"	"ydiF"	NA	"putative acetate-CoA transferase"	"+"	"CDS"	"1755"	1775587	1777182	0	1775587	1777182	NA
"b1695"	"ydiO"	1777196	1778347	"+"	0	"b1695,ECK120003506,ECK1693,G6918,ydiO"	"ECK120007962,NP_416210.4,YdiO"	"ECK120003506"	"ydiO"	"b1695"	"+"	NA	"ECK120007962"	"putative acyl-CoA dehydrogenase YdiO"	NA	"b1695"	"ydiO"	NA	"putative acyl-CoA dehydrogenase"	"+"	"CDS"	"1756"	1777196	1778347	0	1777196	1778347	NA
"b1696"	"ydiP"	1778390	1779301	"-"	1	"b1696,ECK120003507,ECK1694,G6919,ydiP"	"ECK120007963,NP_416211.1,YdiP"	"ECK120003507"	"ydiP"	"b1696"	"-"	NA	"ECK120007963"	"putative DNA-binding transcriptional regulator YdiP"	NA	"b1696"	"ydiP"	"non-essential"	"putative DNA-binding transcriptional regulator YdiP"	"-"	"CDS"	"247"	1778390	1779301	0	1778390	1779301	1
"b1697"	"ydiQ"	1779617	1780381	"+"	0	"b1697,ECK120003508,ECK1695,G6920,ydiQ"	"ECK120007964,NP_416212.1,YdiQ"	"ECK120003508"	"ydiQ"	"b1697"	"+"	NA	"ECK120007964"	"putative electron transfer flavoprotein subunit YdiQ"	NA	"b1697"	"ydiQ"	NA	"putative electron transfer flavoprotein subunit YdiQ"	"+"	"CDS"	"1757"	1779617	1780381	0	1779617	1780381	NA
"b1698"	"ydiR"	1780401	1781339	"+"	0	"b1698,ECK120003509,ECK1696,G6921,ydiR"	" FAD-binding,ECK120007965,NP_416213.1,putative electron transport flavoprotein,YdiR"	"ECK120003509"	"ydiR"	"b1698"	"+"	NA	"ECK120007965"	"putative electron transfer flavoprotein subunit YdiR"	NA	"b1698"	"ydiR"	NA	"putative electron transfer flavoprotein subunit YdiR"	"+"	"CDS"	"1758"	1780401	1781339	0	1780401	1781339	NA
